iter	Logloss
0	0.6900386019
1	0.6872953595
2	0.685350123
3	0.681667112
4	0.6790886645
5	0.6762782835
6	0.6740645499
7	0.6715541624
8	0.6687939914
9	0.6664159811
10	0.6627491501
11	0.6594267071
12	0.6573040656
13	0.6535738963
14	0.6517541274
15	0.6501744684
16	0.647483509
17	0.6456542969
18	0.6438443742
19	0.6425315425
20	0.6412530863
21	0.6394908401
22	0.6378348872
23	0.6360507029
24	0.6335476857
25	0.6323467327
26	0.6297471532
27	0.6281158447
28	0.6267358744
29	0.625336845
30	0.6240659318
31	0.6232276773
32	0.6217797045
33	0.620885194
34	0.6200525824
35	0.6186012124
36	0.6165922345
37	0.6149282779
38	0.6140961269
39	0.6125080037
40	0.6106681392
41	0.6094720804
42	0.6081827416
43	0.6070497909
44	0.6063071773
45	0.6053560077
46	0.6040277445
47	0.6016769697
48	0.6002133927
49	0.5991593847
50	0.5975152933
51	0.5968625051
52	0.595952563
53	0.594643762
54	0.593846044
55	0.5930394587
56	0.591667492
57	0.5908544001
58	0.5897333685
59	0.5890711946
60	0.5882862019
61	0.5872571261
62	0.5863314647
63	0.5856304816
64	0.584876352
65	0.5841720293
66	0.5829700398
67	0.5823299192
68	0.5817823302
69	0.5810254943
70	0.5792645724
71	0.578417105
72	0.5778408986
73	0.576847062
74	0.5761195921
75	0.5751228764
76	0.5741228212
77	0.5730200426
78	0.5718459795
79	0.5706954092
80	0.5696200389
81	0.5692059211
82	0.5685209454
83	0.5674116027
84	0.5668650501
85	0.5658433446
86	0.5653451596
87	0.5650434386
88	0.5645094961
89	0.5638425431
90	0.5634558912
91	0.562811049
92	0.5621616004
93	0.5591498609
94	0.5588581013
95	0.5580242805
96	0.5575296654
97	0.5567357477
98	0.5563250272
99	0.5552107325
100	0.5545893831
101	0.5536175422
102	0.5530790509
103	0.5522343474
104	0.5517718045
105	0.5514475696
106	0.5509243371
107	0.5498468363
108	0.5487462458
109	0.5482203646
110	0.547641164
111	0.5475203604
112	0.5469457087
113	0.545768709
