iter	Passed	Remaining
0	2	2557
1	4	2158
2	5	1846
3	6	1719
4	8	1636
5	9	1601
6	10	1545
7	12	1512
8	13	1477
9	14	1452
10	15	1423
11	17	1431
12	18	1428
13	20	1411
14	21	1418
15	23	1416
16	24	1413
17	25	1403
18	26	1389
19	28	1375
20	29	1362
21	30	1349
22	31	1350
23	33	1345
24	34	1339
25	35	1343
26	37	1337
27	38	1331
28	39	1323
29	40	1312
30	41	1302
31	42	1294
32	43	1283
33	44	1272
34	45	1266
35	47	1263
36	48	1257
37	49	1251
38	50	1250
39	52	1255
40	53	1247
41	54	1250
42	55	1244
43	56	1236
44	58	1234
45	59	1228
46	60	1225
47	61	1222
48	62	1217
49	63	1212
50	64	1205
51	65	1200
52	67	1202
53	68	1202
54	69	1198
55	70	1195
56	72	1192
57	73	1189
58	74	1187
59	75	1186
60	76	1182
61	78	1182
62	79	1182
63	80	1179
64	81	1177
65	83	1176
66	84	1175
67	85	1175
68	87	1175
69	88	1174
70	89	1171
71	90	1168
72	91	1166
73	92	1163
74	94	1161
75	95	1158
76	96	1155
77	97	1155
78	98	1152
79	99	1149
80	101	1147
81	102	1146
82	103	1146
83	105	1145
84	106	1143
85	107	1140
86	108	1138
87	109	1134
88	110	1131
89	111	1128
90	112	1126
91	113	1123
92	115	1122
93	116	1122
94	118	1124
95	119	1123
96	120	1121
97	121	1120
98	123	1119
99	124	1121
100	125	1120
101	127	1119
102	128	1122
103	130	1122
104	131	1121
105	133	1122
106	134	1121
107	135	1118
108	136	1117
109	138	1118
110	139	1118
111	140	1112
112	141	1111
113	143	1112
114	144	1110
115	145	1107
116	146	1106
117	147	1104
118	149	1108
119	151	1111
120	152	1106
121	153	1106
122	155	1107
123	156	1106
124	158	1106
125	159	1105
126	160	1103
127	161	1102
128	163	1102
129	164	1102
130	166	1102
131	167	1101
132	169	1101
133	170	1100
134	171	1098
135	172	1096
136	173	1094
137	174	1092
138	176	1090
139	177	1089
140	178	1088
141	179	1085
142	180	1084
143	182	1082
144	183	1080
145	184	1078
146	185	1077
147	187	1076
148	188	1074
149	189	1072
150	190	1071
151	191	1070
152	193	1069
153	194	1068
154	195	1067
155	196	1064
156	198	1063
157	199	1062
158	200	1061
159	201	1060
160	203	1058
161	204	1055
162	205	1052
163	206	1050
164	207	1048
165	208	1047
166	209	1045
167	210	1043
168	211	1042
169	212	1038
170	214	1037
171	215	1037
172	216	1033
173	217	1031
174	218	1029
175	219	1028
176	221	1027
177	222	1026
178	223	1024
179	224	1024
180	225	1022
181	227	1021
182	228	1020
183	229	1018
184	230	1016
185	231	1014
186	233	1013
187	234	1011
188	235	1010
189	236	1008
190	238	1008
191	239	1006
192	240	1005
193	241	1004
194	242	1002
195	243	1000
196	245	999
197	246	997
198	247	995
199	248	993
200	249	991
201	250	989
202	251	987
203	252	985
204	253	983
205	254	982
206	255	980
207	257	979
208	258	977
209	259	976
210	260	974
211	261	973
212	262	971
213	263	969
214	265	967
215	266	965
216	267	963
217	268	961
218	269	962
219	270	960
220	271	958
221	273	957
222	274	955
223	275	953
224	276	952
225	278	952
226	279	951
227	280	949
228	281	947
229	282	945
230	283	943
231	284	941
232	285	939
233	286	938
234	288	937
235	289	936
236	290	934
237	291	933
238	292	932
239	294	932
240	295	931
241	297	930
242	298	929
243	299	928
244	300	926
245	301	925
246	303	924
247	304	922
248	305	920
249	306	919
250	307	918
251	308	917
252	310	916
253	311	915
254	312	914
255	314	913
256	315	912
257	316	911
258	317	909
259	319	908
260	320	907
261	321	905
262	322	904
263	324	903
264	325	902
265	326	900
266	327	899
267	328	898
268	330	896
269	331	895
270	332	894
271	333	893
272	334	891
273	336	890
274	337	889
275	338	888
276	339	886
277	340	884
278	341	883
279	343	882
280	344	881
281	345	880
282	346	878
283	348	877
284	349	876
285	350	874
286	351	872
287	352	871
288	353	869
289	354	868
290	356	867
291	357	866
292	358	865
293	359	863
294	360	862
295	361	860
296	363	859
297	364	858
298	365	856
299	366	855
300	367	853
301	368	851
302	370	851
303	371	850
304	372	848
305	373	847
306	375	846
307	376	845
308	377	844
309	378	843
310	380	842
311	381	840
312	382	839
313	383	837
314	384	836
315	386	836
316	387	835
317	388	833
318	389	832
319	391	830
320	392	829
321	393	829
322	395	827
323	396	826
324	397	825
325	398	824
326	399	822
327	400	821
328	402	820
329	403	819
330	404	818
331	406	817
332	407	815
333	408	814
334	410	814
335	411	813
336	413	813
337	414	811
338	415	810
339	416	809
340	418	807
341	419	806
342	420	805
343	421	803
344	422	802
345	423	800
346	424	799
347	425	797
348	427	797
349	428	795
350	429	794
351	430	792
352	432	791
353	433	790
354	434	789
355	435	788
356	436	786
357	437	785
358	439	784
359	440	782
360	441	781
361	442	780
362	444	779
363	445	778
364	446	776
365	447	775
366	449	774
367	450	773
368	451	772
369	452	770
370	453	769
371	455	768
372	456	766
373	457	765
374	458	764
375	460	763
376	461	762
377	462	760
378	463	759
